acl 2.2.53-1
haskell-pandoc-types 1.17.5.4-6
haskell-pem 0.2.4-35
haskell-pretty-show 1.8.2-5
haskell-primitive 0.6.4.0-4
haskell-quickcheck 2.11.3-7
haskell-random 1.1-15
haskell-regex-base 0.93.2-36
haskell-regex-pcre 0.94.4-12
haskell-safe 0.3.17-5
haskell-scientific 0.3.6.2-10
haskell-sha 1.6.4.4-6
haskell-skylighting 0.7.5-4
haskell-skylighting-core 0.7.5-4
haskell-socks 0.5.6-43
haskell-split 0.2.3.3-8
haskell-streaming-commons 0.2.1.0-15
haskell-syb 0.7-9
haskell-tagged 0.8.6-4
haskell-tagsoup 0.14.7-4
haskell-temporary 1.3-17
haskell-texmath 0.11.1.2-6
haskell-tf-random 0.5-22
haskell-th-abstraction 0.2.8.0-4
haskell-time-locale-compat 0.1.1.5-4
haskell-tls 1.4.1-53
haskell-transformers-compat 0.6.2-5
haskell-unicode-transforms 0.3.5-2
haskell-unordered-containers 0.2.9.0-15
haskell-utf8-string 1.0.1.1-11
haskell-uuid-types 1.0.3-18
haskell-vector 0.12.0.2-2
haskell-x509 1.7.5-4
haskell-x509-store 1.6.7-3
haskell-x509-system 1.6.6-71
haskell-x509-validation 1.6.11-3
haskell-xml 1.3.14-17
haskell-zip-archive 0.3.3-13
haskell-zlib 0.6.2-6
hicolor-icon-theme 0.17-1
highlight 3.48-1
http-parser 2.8.1-1
hugo 0.52-1
hunspell 1.7.0-1
hwids 20180917-1
hyphen 2.8.8-2
i3-gaps 4.16-1
i3blocks 1.4-6
i3lock 2.11.1-1
iana-etc 20180913-1
icu 63.1-2
ijs 0.35-2
imagemagick 7.0.8.19-1
imlib2 1.5.1-1
inetutils 1.9.4-6
intel-ucode 20180807.a-1
intltool 0.51.0-4
iproute2 4.19.0-1
iptables 1:1.8.2-1
iputils 20180629.f6aac8d-2
iso-codes 4.1-1
jack 0.125.0-5
jansson 2.12-1
jasper 2.0.14-1
java-environment-common 3-1
java-runtime-common 3-1
jbig2dec 0.15-1
jdk8-openjdk 8.u192-1
jemalloc 1:5.1.0-1
jfsutils 1.1.15-6
jre10-openjdk 10.0.2.u13-1
jre10-openjdk-headless 10.0.2.u13-1
jre8-openjdk 8.u192-1
jre8-openjdk-headless 8.u192-1
js52 52.9.0-1
json-c 0.13.1-2
json-glib 1.4.4-1
jsoncpp 1.8.4-2
kbd 2.0.4-2
keyutils 1.6-1
kmod 25-1
krb5 1.16.1-1
kyotocabinet 1.2.76-6
l-smash 2.14.5-1
lame 3.100-2
lcms2 2.9-1
ldb 1:1.4.3-1
ldns 1.7.0-4
less 530-1
libabw 0.1.2-1
libaio 0.3.111-2
libao 1.2.2-2
libarchive 3.3.3-1
libass 0.14.0-1
libassuan 2.5.2-1
libasyncns 0.8+3+g68cd5af-2
libatomic_ops 7.6.8-1
libavc1394 0.5.4-3
libbluray 1.0.2-2
libbsd 0.9.1-1
libcaca 0.99.beta19-2
libcanberra 0.30+2+gc0620e4-2
libcap 2.26-1
libcap-ng 0.7.9-1
libcddb 1.3.2-5
libcdio 2.0.0-1
libcdio-paranoia 10.2+0.94+2-2
libcdr 0.1.4-5
libcmis 0.5.1-10
libcroco 0.6.12+4+g9ad7287-2
libcups 2.2.10-1
libdaemon 0.14-4
libdatrie 0.2.12-1
libdmx 1.1.4-1
libdrm 2.4.96-1
libdvdnav 6.0.0-1
libdvdread 6.0.0-1
libe-book 0.1.3-4
libedit 20180525_3.1-1
libelf 0.175-1
libepoxy 1.5.3-1
libepubgen 0.1.1-1
libetonyek 0.1.8-1
libev 4.24-2
libevdev 1.6.0-1
libevent 2.1.8-2
libexif 0.6.21-3
libexttextcat 3.4.5-1
libffi 3.2.1-3
libfilezilla 0.15.1-1
libfontenc 1.1.3-2
libfreehand 0.1.2-1
libgcrypt 1.8.4-1
libglade 2.6.4-6
libglvnd 1.1.0-1
libgme 0.6.2-1
libgpg-error 1.33-1
libgudev 232-1
libgusb 0.3.0-1
libibus 1.5.19-1
libical 3.0.4-2
libice 1.0.9-2
libid3tag 0.15.1b-9
libidn 1.35-1
libidn2 2.0.5-1
libiec61883 1.2.0-5
libimobiledevice 1.2.0+87+g92c5462-1
libinput 1.12.4-1
libixion 0.14.1-1
libjpeg-turbo 2.0.1-1
libksba 1.3.5-1
liblangtag 0.6.2-2
libldap 2.4.46-2
liblouis 3.8.0-1
liblqr 0.4.2-2
libmad 0.15.1b-8
libmagick 7.0.8.19-1
libmagick6 6.9.10.17-1
libmediainfo 18.08.1-1
libmikmod 3.3.11.1-2
libmm-glib 1.8.2-1
libmms 0.6.4-2
libmnl 1.0.4-2
libmodplug 0.8.9.0-2
libmpc 1.1.0-1
libmpcdec 1:0.1+r475-2
libmpdclient 2.16-1
libmspub 0.1.4-4
libmtp 1.1.16-1
libmwaw 0.3.14-1
libndp 1.7-1
libnet 1.1.6-3
libnetfilter_conntrack 1.0.7-1
libnewt 0.52.20-2
libnfnetlink 1.0.1-3
libnfs 3.0.0-2
libnftnl 1.1.1-1
libnghttp2 1.35.1-1
libnl 3.4.0-1
libnm 1.14.5dev+17+gba83251bb-1
libnm-glib 1.14.5dev+17+gba83251bb-1
libnotify 0.7.7-2
libnsl 1.2.0-1
libnumbertext 1.0.5-1
libodfgen 0.1.7-1
libogg 1.3.3-3
libomxil-bellagio 0.9.3-2
liborcus 0.14.1-1
libotf 0.9.16-1
libpagemaker 0.0.4-1
libpaper 1.1.24-11
libpcap 1.9.0-1
libpciaccess 0.14-1
libpgm 5.2.122-3
libpipeline 1.5.0-1
libplist 2.0.0+11+gec9ba8b-2
libpng 1.6.35-1
libproxy 0.4.15-8
libpsl 0.20.2-1
libpulse 12.2-2
libqxp 0.0.1-4
libraqm 0.5.0-1
libraw1394 2.1.2-2
libreoffice-fresh 6.1.4-1
librevenge 0.0.4-2
librsvg 2:2.44.10-1
libsamplerate 0.1.9-2
libsasl 2.1.26-13
libseccomp 2.3.3-1
libsecret 0.18.6-1
libshout 1:2.4.1-4
libsigsegv 2.12-1
libsm 1.2.3-1
libsndfile 1.0.28-2
libsodium 1.0.16-1
libsoup 2.64.2-1
libsoxr 0.1.3-1
libssh 0.8.5-1
libssh2 1.8.0-3
libstaroffice 0.0.6-1
libsynctex 2018.48691-3
libsystemd 239.370-1
libtasn1 4.13-1
libteam 1.28-1
libtermkey 0.20-2
libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.0.10-1
libtirpc 1.1.4-1
libtommath 1.0.1-1
libtool 2.4.6+42+gb88cebd5-2
libunistring 0.9.10-1
libunwind 1.2.1-2
libupnp 1.6.25-1
liburcu 0.10.1-1
libusb 1.0.22-1
libusbmuxd 1.0.10+29+g9db5747-1
libutempter 1.1.6-3
libutil-linux 2.33-2
libuv 1.24.1-1
libva 2.3.0-1
libva-intel-driver 2.3.0-1
libvdpau 1.1.1+3+ga21bf7a-1
